words,frequency
elnino,230667
emergencia,3196
fenómeno,15537
alerta,7540
fenómenoelnino,3727
fenómenodeelnino,21
fenómenodelnino,3634
fenómeno El Nino,651
fenómeno del Nino,366
emergency,1181
