words,frequency
elnino,230667
fenómenoelnino,3720
fenómenodeelnino,497
fenómenodelnino,3634
fenómeno El Nino,40981
fenómeno del Nino,26924
fenómeno de El Nino,31016
nino godzilla,4037
fenómeno nino,1054
niso,4
fen,5767
inundación,41645
aguacero,6303
sequía,203003
emergencia,6954
fenómeno,115559
alerta,7634
emergency,1184
lluvia,6776
inundado,99
rains,4280
